(randomSeed=1597108971610, Tue Aug 11 11:22:51 AEST 2020)
iteration, evaluations, sigma, void, fitness_of_recent_best, x_of_recent_best(1...dimension) 
1,8,0.16994762249959627, 0, 0.2994920611381531,(0.38683015953754096;0.5880594044595656;0.48828721032826716;0.4419753069480787;0.36396857525542803)
2,16,0.17292486068153842, 0, 0.29966211318969727,(0.21458420429752095;0.34645608934422145;0.6078298597019985;0.5134319690991275;0.15129435363745847)
3,24,0.17811706822107914, 0, 0.29826819896698,(0.22357547584354304;0.23757152218529543;0.6453881827053781;0.5685641749692034;0.3212491997678408)
4,32,0.16396730711965085, 0, 0.2990918755531311,(0.37572785654700813;0.19075745278904482;0.5668989153387987;0.5767350903807518;0.511648175563729)
5,40,0.17096143500998737, 0, 0.2994062900543213,(0.42515916945296867;0.19198902802379575;0.6094752442884426;0.8626872742623329;0.4110180153841946)
6,48,0.16981516782147768, 0, 0.2955769896507263,(0.602705643648298;0.2617708917725117;0.6863780648546292;0.8146563535180369;0.7258312813045102)
7,56,0.19620465147778354, 0, 0.07771819829940796,(0.708301816561345;0.4085876432592602;0.7622531125247396;0.7385812738741444;0.8363639279131991)
8,64,0.1989086372449241, 0, 0.029600024223327637,(0.6632202203016061;0.49327139557887256;0.9737970793442823;0.7678448753406859;0.7352598432268906)
9,72,0.1931660369509348, 0, 0.17894184589385986,(0.5839037248596104;0.46577118033236753;0.9727178641365444;0.6314264785683672;0.7986024575526293)
10,80,0.17658635093109912, 0, 0.026744961738586426,(0.6414192523347574;0.011125965790540426;0.9464890767614226;0.7737401573559313;0.6084739700014411)
11,88,0.16189939035294737, 0, 0.0019090771675109863,(0.6018981728226196;0.29801225523126224;0.9925044212394409;0.7345873086549597;0.5935771010711521)
12,96,0.15976165434350273, 0, 0.005947589874267578,(0.7420000901575422;0.4909038205818854;0.780115561969964;0.60298941474406;0.7158230354330771)
13,104,0.14479171709712393, 0, 0.016119718551635742,(0.4962098830138612;0.2632653135267786;0.9465188251492473;0.7494117136041936;0.5057406602874182)
14,112,0.13797531443342193, 0, 3.253817558288574E-4,(0.7246976439487648;0.4476705260017594;0.9671615469353271;0.6155596958236278;0.5637678650050869)
15,120,0.13332399583860186, 0, 0.010343372821807861,(0.6998502008142748;0.5458472666069004;0.9564656547229219;0.6695087596644415;0.4873495240079988)
16,128,0.11681080038072872, 0, 0.011682987213134766,(0.5387004948128266;0.5379770031036691;0.8432871308637154;0.7582568055316081;0.3552206172877983)
17,136,0.11183382937873358, 0, 0.014019548892974854,(0.6184538118094149;0.4991242449555513;0.8560278279922466;0.7569336193698502;0.33382496468619666)
