(randomSeed=1597108971610, Tue Aug 11 11:22:51 AEST 2020)
iteration, evaluations, sigma, axisratio, bestever_fitness, best_fitness, median_fitness, worst_fitness, mindii, idxmaxSD, maxSD, idxminSD, minSD 
1,8,0.16994762249959627,1.0,0.2994920611381531,0.2994920611381531,0.2998664975166321,0.30000001192092896,1.0,2,0.1660070967030242,3,0.16367438644482432
2,16,0.17292486068153842,1.0348217645586295,0.2994920611381531,0.29966211318969727,0.2999485731124878,0.30000001192092896,0.96143281308724,2,0.17247131085659345,4,0.16190251703867498
3,24,0.17811706822107914,1.1599226755108591,0.29826819896698,0.29826819896698,0.30000001192092896,0.30000001192092896,0.9250659379019465,2,0.18162603931876373,3,0.16356085988190636
4,32,0.16396730711965085,1.222005180567149,0.29826819896698,0.2990918755531311,0.29999685287475586,0.30000001192092896,0.8936173671357674,2,0.16396143614601277,3,0.14756813477237604
5,40,0.17096143500998737,1.2301901225512477,0.29826819896698,0.2994062900543213,0.29995042085647583,0.30000001192092896,0.8672079645188925,2,0.1678676860306553,3,0.14970647118360708
6,48,0.16981516782147768,1.250475676742354,0.2955769896507263,0.2955769896507263,0.29999953508377075,0.30000001192092896,0.8377255785324865,5,0.1658170697836414,3,0.14815026319667327
7,56,0.19620465147778354,1.311917758017978,0.07771819829940796,0.07771819829940796,0.29978322982788086,0.30000001192092896,0.8088471091547627,2,0.2002517652916526,3,0.16951784241779255
8,64,0.1989086372449241,1.4527108902788342,0.029600024223327637,0.029600024223327637,0.29963308572769165,0.29999738931655884,0.7847946922679845,2,0.19845953742591563,1,0.17520831498944722
9,72,0.1931660369509348,1.4703126735153815,0.029600024223327637,0.17894184589385986,0.29476070404052734,0.29937994480133057,0.7733912660049731,2,0.19016330179332622,4,0.16759641840028908
10,80,0.17658635093109912,1.490921845114007,0.026744961738586426,0.026744961738586426,0.2230900228023529,0.2999922037124634,0.7578188919222199,2,0.1777364813726418,4,0.14750970991269435
11,88,0.16189939035294737,1.4858723526090467,0.0019090771675109863,0.0019090771675109863,0.294344961643219,0.30000001192092896,0.7487824386881323,2,0.15761681727153293,4,0.13156702541077994
12,96,0.15976165434350273,1.464372539572115,0.0019090771675109863,0.005947589874267578,0.23418590426445007,0.29919689893722534,0.7335236298807911,2,0.15284948462365489,4,0.12840805915993705
13,104,0.14479171709712393,1.543011000541529,0.0019090771675109863,0.016119718551635742,0.13509982824325562,0.30000001192092896,0.708749999407286,2,0.13942427314663614,4,0.11282911639947717
14,112,0.13797531443342193,1.6159974404545363,3.253817558288574E-4,3.253817558288574E-4,0.09181010723114014,0.30000001192092896,0.6895538755862693,2,0.13091265963051893,4,0.10458042162669659
15,120,0.13332399583860186,1.5997863274239725,3.253817558288574E-4,0.010343372821807861,0.1984950304031372,0.30000001192092896,0.6745607930412452,5,0.1233965831643836,4,0.09793358138064501
16,128,0.11681080038072872,1.6184751273414313,3.253817558288574E-4,0.011682987213134766,0.10127657651901245,0.21716904640197754,0.6610502535404686,2,0.10827294538711481,4,0.08309672188831624
17,136,0.11183382937873358,1.6461697632560182,3.253817558288574E-4,0.014019548892974854,0.18842238187789917,0.2943118214607239,0.6398180394351564,5,0.10403447239465172,4,0.07680752521521125
18,144,0.1192442205124519,1.6133529753281526,3.253817558288574E-4,0.008947551250457764,0.10817772150039673,0.16948211193084717,0.641356833742845,5,0.11338418902409099,4,0.082342045947231
19,152,0.09819396572921053,1.6882860674666949,3.253817558288574E-4,0.023791253566741943,0.18309664726257324,0.2999997138977051,0.6202601871651999,5,0.09180285287503955,4,0.06572611964782969
20,160,0.09250400876823169,1.7131936685278168,3.253817558288574E-4,0.0020092129707336426,0.09228509664535522,0.29947495460510254,0.6051197303607775,5,0.0903846943618553,4,0.06041745716586315
21,168,0.09119511366071537,1.743794991779171,3.253817558288574E-4,0.04958254098892212,0.29877281188964844,0.29988569021224976,0.606622063910189,5,0.0889898497009308,4,0.05933767782123202
22,176,0.10380599280833844,1.8044837168200676,3.253817558288574E-4,0.010671555995941162,0.0919843316078186,0.29975712299346924,0.5921003927705618,5,0.1013424257176447,4,0.06653130379114978
23,184,0.11303863302650889,1.9049979443089087,3.253817558288574E-4,0.020087718963623047,0.12111872434616089,0.15797895193099976,0.5755260492211466,5,0.11612492999065593,4,0.07054251358225529
24,192,0.1142767903794973,2.0293107273456243,3.253817558288574E-4,0.001846611499786377,0.06173819303512573,0.16301411390304565,0.5696034370153512,5,0.1313526227978626,4,0.07414584997277504
25,200,0.1029485150858177,2.2512558790415302,3.253817558288574E-4,0.03167593479156494,0.06871771812438965,0.29824644327163696,0.5563297097916389,5,0.11612628856421957,4,0.06509091925520372
26,208,0.09166912829450129,2.2718003225162082,3.253817558288574E-4,0.008400201797485352,0.09545791149139404,0.2987683415412903,0.538938994924158,5,0.1045149474609149,4,0.05632913130356717
27,216,0.08088296084838553,2.362145722834867,3.253817558288574E-4,0.017363905906677246,0.09066426753997803,0.29980915784835815,0.5184563623910671,5,0.09266109205106804,4,0.049993232157562836
28,224,0.06620155623605238,2.4180136094060796,3.253817558288574E-4,0.0035387277603149414,0.029792964458465576,0.30000001192092896,0.5084039729055633,5,0.07393586346775569,4,0.03962544155242619
29,232,0.051841971503164413,2.427667768801622,3.253817558288574E-4,9.038448333740234E-4,0.03870195150375366,0.14008760452270508,0.4915795630497936,5,0.05654725942548573,4,0.030164889090717937
30,240,0.05175048960292098,2.4637262755056004,3.253817558288574E-4,0.00864875316619873,0.023609817028045654,0.09293341636657715,0.4729902887320037,5,0.06125604733408581,3,0.030131858314675637
31,248,0.043774985088609185,2.775271416443423,3.253817558288574E-4,0.008544743061065674,0.05068451166152954,0.09350645542144775,0.4572853629935831,5,0.05094987597483843,3,0.025072816748571307
32,256,0.043454295461855835,2.8089568575899726,3.253817558288574E-4,0.006588280200958252,0.04191398620605469,0.07884705066680908,0.4435516010576085,5,0.05395713345331658,3,0.024600212937299377
33,264,0.04516103522976575,3.0242528669451954,3.253817558288574E-4,0.006304740905761719,0.046958327293395996,0.06709575653076172,0.4338015100433033,5,0.05760160703311837,3,0.024635224007287904
34,272,0.060066731534703766,3.1528968271204567,3.253817558288574E-4,0.0012999773025512695,0.042516469955444336,0.13634711503982544,0.4254013185007634,5,0.07795093030073957,4,0.03271433244882306
35,280,0.06730098361511827,3.272280568315746,3.253817558288574E-4,6.414651870727539E-4,0.022322237491607666,0.088398277759552,0.41998535395449155,5,0.09228199821348645,4,0.0352893213432422
36,288,0.06607886100723638,3.4582327069596532,3.253817558288574E-4,0.008008480072021484,0.04046916961669922,0.1400739550590515,0.41563253245474335,5,0.09063526788675806,4,0.03394095439297557
37,296,0.06024179754586118,3.555797630209556,3.253817558288574E-4,0.0023639798164367676,0.027190208435058594,0.08724653720855713,0.4110752440414095,5,0.08044332815162512,4,0.02998469924205869
38,304,0.05906551315266759,3.5943155132906752,3.253817558288574E-4,0.006354033946990967,0.014174580574035645,0.05687832832336426,0.3977152037623179,5,0.07638070925530313,4,0.029285654650835345
39,312,0.05752439312080668,3.579420042830319,3.253817558288574E-4,0.005930125713348389,0.02808225154876709,0.06977450847625732,0.3889822183286334,5,0.07481094065578293,4,0.027825484699344663
40,320,0.05459128888802029,3.6474013804142444,3.253817558288574E-4,0.015460371971130371,0.04198247194290161,0.07559406757354736,0.3885601937779157,5,0.0692066016585708,4,0.02605320501632452
